BU,Function,Vendor,SW Key,Care,Connect,Insights,Network,Care2,Connect2,Insights2,Network2,Care3,Connect3,Insights3,Network3,Care4,Connect4,Insights4,Network4,Care5,Connect5,Care6,Connect6,Care7,Connect7,Care8,Connect8,_BATCH_LAST_RUN_,_BATCH_ID_,_DOWNLOAD_EMAIL_,_FILE_NAME_
Shared Services,Architecture,"Confluent, Inc","Shared Services-Confluent, Inc",.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,.5,.5,.5,.5,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Application Development,Conga,Shared Services-Conga,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,.5,.5,.5,.5,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,Shared Services-Conga ***Appextremes dba,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,.5,.5,.5,.5,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Application Development,Copper CRM,Shared Services-Copper CRM,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,.5,.5,.5,.5,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,Shared Services-CYCODE INC.,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,.5,.5,.5,.5,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,"Shared Services-Datadog, Inc.",.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,.5,.5,.5,.5,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,Shared Services-Docebo NA Inc,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,.5,.5,.5,.5,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,Shared Services-Docker,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,.5,.5,.5,.5,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Finance,DocuSign Inc,Shared Services-DocuSign Inc,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,.5,.5,.5,.5,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,Shared Services-DR/ Decision Resources LLC (Clarivate),.3,0,0,.7,.3,0,0,.7,.3,0,0,.7,.3,0,0,.7,,,,,.3,.7,.3,.7,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
